edge_id,node1,node2
966,184,180
967,227,180
968,244,180
969,247,180
970,195,181
971,197,181
972,211,181
973,202,182
974,220,182
975,230,182
976,234,182
977,196,183
978,210,183
979,240,183
980,241,183
981,245,183
982,188,184
983,191,184
984,212,184
985,232,184
986,186,185
987,213,185
988,216,185
989,217,185
990,225,185
991,227,185
992,236,185
993,237,185
994,213,186
995,216,186
996,217,186
997,225,186
998,236,186
999,237,186
1000,190,188
1001,191,188
1002,212,188
1003,232,188
1004,248,188
1005,197,189
1006,200,189
1007,211,189
1008,191,190
1009,212,190
1010,214,190
1011,232,190
1012,212,191
1013,217,191
1014,232,191
1015,214,192
1016,240,192
1017,246,192
1018,231,193
1019,213,194
1020,223,194
1021,230,194
1022,197,195
